teryt;JPT_NAZWA;Szkołapodstawowa10_2023;czniowiena1000miesz;bezrobocie;Miasto_prawa_powiatu;uczniowie_ukraina_porownanie_powiat_wojew;Szkołapodstawowa02_2022;Ukraina_suma_02_2022;uczniowie_ukraina_porownanie_powiat_na1000mieszk2022;ROZNICE_2023_2022_SP;Szkołapodstawowa09_2022;Suma09_2022;ROZNICE_09_03_2022_SP;ROZNICE_09_03_2022_ALL;Suma_10_2023;ROZNICE_uczniowie_roznice_ogolem_04_09;WSZYSCY_UCZNIOWIE;cena_m2@2021;cena_m2@2022;dynamika_m2;klastry_bez_dynamika;klastry_bez_uczniowie_mieszkania;QCL_2;QCL_1;ROZNICE_2023_2022_SP_RELATIVE;ROZNICE_09_03_202_SP_RELATIVE;UCZNIOWIE_SP_JAKO_PROCENT_2022;UCZNIOWIE_SP_JAKO_PROCENT_2023;UCZNIOWIE_SP_JAKO_PROCENT_ROZNICA;Uchodzcy_roczniki_sp_04_2022;PROCENT_UCZNIOW_WG_UCHODZCOW_04_2022;ZPROCENT_UCZNIOW_WG_UCHODZCOW_04_2022;miast_prawa_powiat_rekod;Rbezrobo;Rdynamik;Rczniowi;suma_rang_B_SZ_Dyna;Wszyscy_ukraina_04_2022;proc_wiek_sp_uchodzcy_04_2022;Uchodzcy_roczniki_sp_09_2022;PROCENT_UCZNIOW_WG_UCHODZCOW_09_2022;Wszyscy_ukraina_09_2022;proc_wiek_sp_uchodzcy_09_2022;Uchodzcy_roczniki_sp_10_2023;PROCENT_UCZNIOW_WG_UCHODZCOW_10_2023;Wszyscy_ukraina_10_2023;proc_wiek_sp_uchodzcy_10_2023;Uczniowie_sp_04_2022_altern;Uczniowie_JEZYK_sp_04_2022_altern;procent_jezyk_04_2022;niezogdnosc_danych_SP_04_2022;niezogdnosc_danych_procent_04_2022;Uczniowie_sp_10_2022_altern;Uczniowie_Jezyk_sp_04_2022;procent
3023;powiat słupecki;64;1.111999166;7.1;FAŁSZ;30;98;140;1.702748723;-34;63;124;-35;-16;119;-16;4781;4313;4446;3.083700441;2;5;3;2;-.711148295335704;-.732064421669107;70;53.781512605042;-16.218487394958;199;49.2462311557789;-.104783334397825;0;214;51;92;357;907;21.9404630650496;238;26.4705882352941;1170;20.3418803418803;156;41.025641025641;725;21.5172413793103;107;47;43.9252336448598;9;8.41121495327103;63;42;66.6666666666667
3024;powiat szamotulski;373;4.069875285;3.2;FAŁSZ;30;400;589;4.364477517;-27;478;647;78;58;529;58;8677;4194;5313;26.68097282;2;5;4;5;-.311167454189236;.898928200991126;67.911714770798;70.5103969754253;2.59868220462737;888;45.045045045045;-.292010490480164;0;48;307;330;685;3533;25.13444664591;1087;43.9742410303588;4825;22.5284974093264;808;46.1633663366337;3474;23.258491652274;446;169;37.8923766816144;46;10.3139013452915;478;96;20.0836820083682
3025;powiat średzki;277;4.628469263;5.8;FAŁSZ;30;222;262;3.709459121;55;302;415;80;153;422;153;5751;3721;5826;56.5708143;5;2;4;5;.956355416449313;1.39106242392627;84.7328244274809;65.6398104265403;-19.0930140009406;340;65.2941176470588;.61039568164669;0;167;373;347;887;1318;25.7966616084977;487;62.0123203285421;2173;22.4114127933732;403;68.7344913151365;1816;22.1916299559471;238;146;61.3445378151261;16;6.72268907563025;302;53;17.5496688741722
3026;powiat śremski;167;2.732553383;2.4;FAŁSZ;30;174;246;2.847091549;-7;184;261;10;15;253;15;5671;4641;4772;2.822667529;2;5;4;2;-.12343502027861;.176335743255158;70.7317073170732;66.0079051383399;-4.72380217873325;219;79.4520547945205;1.24134852168851;0;26.5;49;270;345.5;937;23.3724653148346;355;51.830985915493;1612;22.0223325062035;231;72.2943722943723;999;23.1231231231231;191;42;21.9895287958115;17;8.90052356020942;184;28;15.2173913043478
3027;powiat turecki;114;1.400887229;4;FAŁSZ;30;163;232;2.003022967;-49;154;197;-9;-35;202;-35;7064;4197;4403;4.90826781;2;5;4;2;-.69365798414496;-.127406568516421;70.2586206896552;56.4356435643564;-13.8229771252987;308;52.9220779220779;.0590319116085963;0;79.5;63;125;267.5;1261;24.4250594766059;353;43.6260623229462;1554;22.7155727155727;264;43.1818181818182;1047;25.214899713467;185;131;70.8108108108108;22;11.8918918918919;154;112;72.7272727272727
3028;powiat wągrowiecki;126;1.825055403;5.4;FAŁSZ;30;119;158;1.723663437;7;155;214;36;56;202;56;6187;3774;3726;-1.271860095;2; ;3;5;.113140455794408;.581865201228382;75.3164556962025;62.3762376237624;-12.9402180724402;318;37.4213836477987;-.631761314347332;0;150;24;175;349;1243;25.5832662912309;361;42.9362880886427;1514;23.8441215323646;241;52.2821576763486;894;26.9574944071588;125;69;55.2;6;4.8;155;59;38.0645161290323
3029;powiat wolsztyński;201;3.542287154;1.8;FAŁSZ;30;190;256;3.348430643;11;251;367;61;111;322;111;5473;0;5727;0; ;2;4;5;.200986661794263;1.11456239722273;74.21875;62.4223602484472;-11.7963897515528;449;42.3162583518931;-.413619711935227;0;12;34;311;357;1789;25.0978200111794;557;45.0628366247756;2502;22.2621902478018;352;57.1022727272727;1786;19.7088465845465;244;150;61.4754098360656;54;22.1311475409836;251;131;52.191235059761
3030;powiat wrzesiński;262;3.351412198;4;FAŁSZ;30;246;318;3.146745804;16;271;389;25;71;393;71;7182;4808;5175;7.633111481;2;2;4;5;.222779170147591;.348092453355611;77.3584905660377;66.6666666666667;-10.6918238993711;414;59.4202898550725;.348626732634595;0;79.5;86;302;467.5;1616;25.6188118811881;540;50.1851851851852;2425;22.2680412371134;356;73.5955056179775;1691;21.0526315789474;255;64;25.0980392156863;9;3.52941176470588;271;150;55.3505535055351
3031;powiat złotowski;58;.858127802;4.7;FAŁSZ;30;105;131;1.553507228;-47;72;122;-33;-9;101;-9;5657;3031;3952;30.38601122;2;5;4;2;-.830829061339933;-.583348064345059;80.1526717557252;57.4257425742574;-22.7269291814678;172;61.046511627907;.421099808014205;0;115;327;64;506;730;23.5616438356164;190;37.8947368421053;891;21.324354657688;127;45.6692913385827;568;22.3591549295775;110;39;35.4545454545455;5;4.54545454545455;72;29;40.2777777777778
3061;powiat Kalisz;523;5.565428368;3.4;PRAWDA;30;437;600;4.650271887;86;575;835;138;235;856;235;8063;4349;5328;22.51092205;2;2;4;5;1.06660052089793;1.71152176609203;72.8333333333333;61.0981308411215;-11.7352024922118;209;209.090909090909;7.01874408759114;1;57.5;280;362;699.5;904;23.1194690265487;357;161.064425770308;1843;19.3705914270212;300;174.333333333333;1735;17.2910662824208;443;34;7.67494356659142;6;1.35440180586907;575;9;1.56521739130435
